PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked
1,0,3,male,22,7.25,S
2,1,1,female,38,71.2833,C
3,1,3,female,26,7.925,S
4,1,1,female,35,53.1,S
5,0,3,male,35,8.05,S
6,0,3,male,,8.4583,Q
7,0,1,male,54,51.8625,S
8,0,3,male,2,21.075,S
9,1,3,female,27,11.1333,S
10,1,2,female,14,30.0708,C
11,1,3,female,4,16.7,S
12,1,1,female,58,26.55,S
13,0,3,male,20,8.05,S
14,0,3,male,39,31.275,S
15,0,3,female,14,7.8542,S
16,1,2,female,55,16,S
17,0,3,male,2,29.125,S
18,1,2,male,,13,S
19,0,3,female,31,18,S
20,1,3,female,,7.225,C
21,0,2,male,35,26,S
22,1,2,male,34,13,S
23,1,3,female,15,8.0292,Q
24,1,1,male,28,35.5,S
25,0,3,female,8,21.075,S
26,1,3,female,38,31.3875,S
27,0,3,male,,7.225,C
28,0,1,male,19,263,S
29,1,3,female,,7.8792,Q
30,0,3,male,,7.8958,S
31,0,1,male,40,27.7208,C
32,1,1,female,,146.5208,C
33,1,3,female,,7.75,Q
34,0,2,male,66,10.5,S
35,0,1,male,28,82.1708,C
36,0,1,male,42,52,S
37,1,3,male,,7.2292,C
38,0,3,male,21,8.05,S
39,0,3,female,18,18,S
40,1,3,female,14,11.2417,C
41,0,3,female,40,9.475,S
42,0,2,female,27,21,S
43,0,3,male,,7.8958,S
44,1,2,female,3,41.5792,C
45,1,3,female,19,7.8792,Q
46,0,3,male,,8.05,S
47,0,3,male,,15.5,Q
48,1,3,female,,7.75,Q
49,0,3,male,,21.6792,C
50,0,3,female,18,17.8,S
51,0,3,male,7,39.6875,S
52,0,3,male,21,7.8,S
53,1,1,female,49,76.7292,C
54,1,2,female,29,26,S
55,0,1,male,65,61.9792,C
56,1,1,male,,35.5,S
57,1,2,female,21,10.5,S
58,0,3,male,28.5,7.2292,C
59,1,2,female,5,27.75,S
60,0,3,male,11,46.9,S
61,0,3,male,22,7.2292,C
62,1,1,female,38,80,B
63,0,1,male,45,83.475,S
64,0,3,male,4,27.9,S
65,0,1,male,,27.7208,C
66,1,3,male,,15.2458,C
67,1,2,female,29,10.5,S
68,0,3,male,19,8.1583,S
69,1,3,female,17,7.925,S
70,0,3,male,26,8.6625,S
71,0,2,male,32,10.5,S
72,0,3,female,16,46.9,S
73,0,2,male,21,73.5,S
74,0,3,male,26,14.4542,C
75,1,3,male,32,56.4958,S
76,0,3,male,25,7.65,S
77,0,3,male,,7.8958,S
78,0,3,male,,8.05,S
79,1,2,second,0.83,29,S
80,1,3,female,30,12.475,S
81,0,3,female,22,9,S
82,0,3,male,29,9.5,S
83,1,3,female,,7.7875,Q
84,0,1,male,28,47.1,S
85,1,2,female,17,10.5,S
86,0,3,female,33,15.85,S
87,0,3,male,16,34.375,S
88,0,3,male,,8.05,S
89,1,1,female,23,263,S
90,0,3,male,24,8.05,S
91,0,3,male,29,8.05,S
92,0,3,male,20,7.8542,S
93,0,1,male,46,61.175,S
94,0,3,male,26,20.575,S
95,0,3,male,59,7.25,S
96,0,3,male,,8.05,S
97,0,1,male,71,34.6542,C
98,1,1,male,23,63.3583,C
99,1,2,female,34,23,S
100,0,2,male,34,26,S
